PA,SZ,Year,AGE0-4,AGE05-9,AGE10-14,AGE15-19,AGE20-24,AGE25-29,AGE30-34,AGE35-39,AGE40-44,AGE45-49,AGE50-54,AGE55-59,AGE60-64,AGE65-69,AGE70-74,AGE75-79,AGE80-84,AGE85over,YOUNG,ACTIVE,OLD,TOTAL
Ang Mo Kio,Ang Mo Kio Town Centre,2018,180,270,320,300,260,300,270,330,430,470,360,310,300,270,190,150,60,60,1330,2770,730,4830
Ang Mo Kio,Cheng San,2018,1060,1080,1080,1260,1400,1880,1940,2300,2090,2180,2160,2150,2270,2130,1370,980,560,440,5880,16970,5480,28330
Ang Mo Kio,Chong Boon,2018,900,900,1030,1220,1380,1760,1830,1920,1900,1910,2070,2140,2170,2050,1570,1170,640,530,5430,15700,5960,27090
Ang Mo Kio,Kebun Bahru,2018,720,850,1010,1120,1230,1460,1330,1540,1700,1830,1880,1810,1750,1700,1240,870,540,430,4930,13300,4780,23010
Ang Mo Kio,Sembawang Hills,2018,220,310,380,500,550,500,300,290,420,550,550,560,450,410,290,220,140,140,1960,3620,1200,6780
Ang Mo Kio,Shangri-La,2018,550,630,670,780,950,1080,990,1100,1140,1230,1350,1420,1290,1150,830,680,360,340,3580,9600,3360,16540
Ang Mo Kio,Tagore,2018,260,340,430,500,640,690,440,400,490,580,640,730,680,500,280,210,180,130,2170,4650,1300,8120
Ang Mo Kio,Townsville,2018,830,930,930,860,1020,1400,1350,1700,1720,1530,1480,1720,1680,1610,1190,980,560,460,4570,12580,4800,21950
Ang Mo Kio,Yio Chu Kang East,2018,160,160,220,260,350,340,230,250,260,320,300,360,350,250,160,100,70,60,1150,2410,640,4200
Ang Mo Kio,Yio Chu Kang West,2018,810,1070,1300,1450,1500,1590,1390,1770,1860,2000,1980,2010,1980,1790,1090,690,390,310,6130,14580,4270,24980
Bedok,Bayshore,2018,350,460,490,400,330,310,310,630,810,830,620,460,390,340,220,110,80,100,2030,4360,850,7240
Bedok,Bedok North,2018,2820,3240,3600,4420,5100,5830,4840,5510,5910,6060,6640,7020,6490,5690,4020,2570,1520,1350,19180,48300,15150,82630
Bedok,Bedok Reservoir,2018,1180,1340,1510,1530,1540,1730,1830,2000,2190,2120,1950,1920,1830,1440,760,500,260,230,7100,15570,3190,25860
Bedok,Bedok South,2018,1560,1880,2230,2490,3050,3410,2820,2930,3240,3560,3740,3920,3720,3370,2380,1710,1120,950,11210,27340,9530,48080
Bedok,Frankel,2018,1520,2050,2010,1760,1920,2090,1850,2590,3080,2970,2490,2210,2070,1930,1260,890,680,700,9260,19350,5460,34070
Bedok,Kaki Bukit,2018,1250,1400,1670,2190,2920,3370,2630,2350,2450,2520,2910,3590,3370,2600,1490,870,490,400,9430,23190,5850,38470
Bedok,Kembangan,2018,1500,1410,1620,1930,2250,2950,2720,2590,2490,2620,2800,3210,3230,2650,1770,1220,800,790,8710,22610,7230,38550
Bedok,Siglap,2018,160,260,300,350,370,410,320,380,480,520,470,500,480,460,420,320,200,160,1440,3560,1560,6560
Bishan,Bishan East,2018,900,1190,1330,1380,1680,2620,1900,1860,1970,2180,1990,2370,2440,2020,1170,840,510,380,6480,17330,4920,28730
Bishan,Marymount,2018,1120,1420,1670,1750,2320,2550,1690,1990,2150,2280,2430,2640,2270,1660,1000,620,380,330,8280,18000,3990,30270
Bishan,Upper Thomson,2018,930,1310,1470,1630,1870,2130,1530,1660,2030,2350,2320,2420,2360,1900,1290,980,690,660,7210,16800,5520,29530
Bukit Batok,Brickworks,2018,590,310,250,190,210,770,690,440,400,340,300,200,140,100,70,40,30,20,1550,3280,260,5090
Bukit Batok,Bukit Batok Central,2018,1140,1270,1350,1510,1560,2200,2000,1890,1900,1980,2020,2130,2100,1520,890,580,320,290,6830,16220,3600,26650
Bukit Batok,Bukit Batok East,2018,360,420,640,680,890,1000,920,870,940,1020,1040,1290,1250,870,510,290,180,140,2990,8330,1990,13310
Bukit Batok,Bukit Batok South,2018,720,690,770,980,1190,1280,1220,1060,980,1140,1250,1290,1130,640,300,190,120,90,4350,9350,1340,15040
Bukit Batok,Bukit Batok West,2018,650,690,780,880,1010,1110,1260,1140,1120,1110,1140,1260,1230,950,480,310,190,170,4010,9370,2100,15480
Bukit Batok,Gombak,2018,440,600,560,560,610,680,640,860,910,780,720,680,630,550,340,250,160,130,2770,5900,1430,10100
Bukit Batok,Guilin,2018,470,570,740,780,870,910,870,910,1090,1130,1170,1050,880,660,380,300,150,170,3430,8010,1660,13100
Bukit Batok,Hillview,2018,610,770,1060,1460,1600,1380,1020,1030,1300,1690,1950,1710,1330,920,510,320,190,170,5500,11410,2110,19020
Bukit Batok,Hong Kah North,2018,910,1040,1350,1630,1850,2190,1790,1810,1790,1990,2210,2530,2330,1510,870,530,270,220,6780,16640,3400,26820
Bukit Merah,Alexandra Hill,2018,450,510,630,730,850,1000,810,820,860,960,1060,1180,1160,1140,780,550,400,370,3170,7850,3240,14260
Bukit Merah,Alexandra North,2018,120,100,80,60,60,70,110,180,170,150,90,80,60,40,30,10,10,10,420,910,100,1430
Bukit Merah,Bukit Ho Swee,2018,580,640,540,590,670,930,1000,1070,1040,990,1120,1230,1280,1120,830,680,440,440,3020,8660,3510,15190
Bukit Merah,Bukit Merah,2018,30,50,50,60,70,70,70,70,70,90,80,80,80,90,80,40,20,20,260,610,250,1120
Bukit Merah,Depot Road,2018,360,410,330,280,290,320,490,580,670,550,430,360,350,360,260,180,90,80,1670,3750,970,6390
Bukit Merah,Everton Park,2018,300,350,360,350,360,520,490,610,710,710,580,550,670,630,450,360,210,190,1720,4840,1840,8400
Bukit Merah,Henderson Hill,2018,370,450,460,510,590,730,630,660,730,840,900,930,920,810,700,570,400,300,2380,6340,2780,11500
Bukit Merah,Kampong Tiong Bahru,2018,260,300,400,390,460,580,530,500,630,710,750,780,850,800,570,460,300,220,1810,5330,2350,9490
Bukit Merah,Maritime Square,2018,190,210,170,140,90,110,180,340,360,340,280,200,170,130,80,70,60,70,800,1980,410,3190
Bukit Merah,Redhill,2018,590,790,620,550,550,740,710,990,1160,980,870,880,740,600,460,350,260,290,3100,7070,1960,12130
Bukit Merah,Telok Blangah Drive,2018,940,730,730,710,770,1200,1580,1510,1400,1290,1200,1230,1160,1210,890,670,430,310,3880,10570,3510,17960
Bukit Merah,Telok Blangah Rise,2018,360,420,480,530,680,820,630,850,920,950,860,960,1090,1160,800,590,320,250,2470,7080,3120,12670
Bukit Merah,Telok Blangah Way,2018,320,430,390,380,420,510,480,650,780,790,760,830,800,750,550,440,270,250,1940,5600,2260,9800
Bukit Merah,Tiong Bahru,2018,800,650,510,440,410,760,1060,1210,1210,910,810,750,840,770,600,490,290,300,2810,7550,2450,12810
Bukit Merah,Tiong Bahru Station,2018,680,870,830,690,710,1090,1000,1240,1330,1310,1120,1080,980,810,630,590,380,330,3780,9150,2740,15670
Bukit Panjang,Bangkit,2018,690,820,1020,1360,1720,2050,1390,1290,1460,1630,2030,2270,1880,1290,810,580,340,300,5610,14000,3320,22930
Bukit Panjang,Dairy Farm,2018,290,370,450,470,470,510,430,470,540,620,530,530,420,260,170,80,50,60,2050,4050,620,6720
Bukit Panjang,Fajar,2018,1770,1770,1630,1680,1890,2330,2390,2380,2000,1990,2100,2070,1700,1180,720,460,250,190,8740,16960,2800,28500
Bukit Panjang,Jelebu,2018,990,1250,1620,2070,2590,2780,1930,1840,2130,2560,2820,2920,2500,1650,1000,610,390,280,8520,19480,3930,31930
Bukit Panjang,Nature Reserve,2018,160,180,240,260,290,260,210,220,270,370,360,330,240,190,90,70,50,30,1130,2260,430,3820
Bukit Panjang,Saujana,2018,1790,1560,1520,1630,1770,1970,2470,2190,1880,1910,1810,1940,1670,1060,490,300,180,190,8270,15840,2220,26330
Bukit Panjang,Senja,2018,1430,1490,1270,1300,1110,1280,1850,1960,1770,1620,1330,1280,1130,800,450,310,160,170,6600,12220,1890,20710
Bukit Timah,Anak Bukit,2018,770,1080,1250,1290,1590,1770,1230,1240,1500,1720,1640,1690,1740,1330,860,660,380,360,5980,12530,3590,22100
Bukit Timah,Coronation Road,2018,290,470,450,400,360,350,300,390,560,580,460,400,320,340,280,200,140,110,1970,3360,1070,6400
Bukit Timah,Farrer Court,2018,350,470,390,380,270,360,350,490,580,610,450,370,300,310,210,150,110,100,1860,3510,880,6250
Bukit Timah,Hillcrest,2018,430,690,620,620,500,430,400,570,800,860,750,640,480,390,340,260,160,170,2860,4930,1320,9110
Bukit Timah,Holland Road,2018,470,760,810,740,630,540,470,670,960,1120,810,710,590,490,330,260,160,150,3410,5870,1390,10670
Bukit Timah,Leedon Park,2018,290,300,400,390,380,360,350,430,510,640,570,400,410,370,320,160,100,110,1760,3670,1060,6490
Bukit Timah,Swiss Club,2018,250,350,370,340,340,370,310,350,400,510,420,380,380,270,210,130,130,120,1650,3120,860,5630
Bukit Timah,Ulu Pandan,2018,380,620,670,610,680,690,520,600,820,920,840,790,750,720,490,310,200,160,2960,5930,1880,10770
Changi,Changi Point,2018,10,20,30,30,30,30,20,30,40,60,60,60,70,30,30,20,10,20,120,370,110,600
Changi,Changi West,2018,150,160,150,90,70,90,130,170,170,110,80,50,20,20,20,10,0,0,620,820,50,1490
Choa Chu Kang,Choa Chu Kang Central,2018,770,1020,1270,1510,1950,1700,1200,1380,1590,1790,2140,1810,1280,900,490,350,210,150,6520,12890,2100,21510
Choa Chu Kang,Choa Chu Kang North,2018,990,1270,1900,2960,3800,2550,1670,1630,1830,2810,3770,2900,1980,1180,630,470,300,250,10920,19140,2830,32890
Choa Chu Kang,Keat Hong,2018,2930,1960,1730,1960,2320,3400,3600,2620,2150,2190,2390,1940,1400,930,520,330,230,170,10900,19690,2180,32770
Choa Chu Kang,Peng Siang,2018,1630,1650,1790,2110,2820,2750,2730,2440,2280,2430,2820,2750,2120,1560,800,430,320,260,10000,20320,3370,33690
Choa Chu Kang,Teck Whye,2018,820,890,1130,1590,2190,2350,1530,1390,1410,1790,2310,2370,1980,1420,840,620,350,280,6620,15130,3510,25260
Choa Chu Kang,Yew Tee,2018,1530,2290,2720,3070,3370,2840,2390,3180,3490,3830,3650,3230,2510,1480,790,530,300,250,12980,25120,3350,41450
Clementi,Clementi Central,2018,490,620,680,650,720,850,760,1020,1130,1110,1000,1010,980,1040,730,510,300,250,3160,7860,2830,13850
Clementi,Clementi North,2018,1440,1240,1120,1240,1280,1830,2380,2440,2320,2150,2040,1920,1990,2190,1600,1090,670,580,6320,17070,6130,29520
Clementi,Clementi West,2018,570,700,750,820,800,960,910,1190,1300,1320,1250,1190,1300,1150,730,490,240,170,3640,9420,2780,15840
Clementi,Clementi Woods,2018,790,740,750,780,790,980,1090,1210,1150,1140,1150,1170,1080,1070,790,530,320,220,3850,8970,2930,15750
Clementi,Faber,2018,290,430,420,370,330,390,390,490,530,510,420,370,280,260,170,120,70,50,1840,3380,670,5890
Clementi,Sunset Way,2018,180,250,260,320,410,400,350,360,390,430,510,460,490,490,330,200,120,100,1420,3390,1240,6050
Clementi,West Coast,2018,310,440,490,390,330,320,280,470,640,610,480,370,310,310,200,120,70,50,1960,3480,750,6190
Downtown Core,Bugis,2018,20,20,20,30,40,50,60,90,50,80,60,60,60,80,50,30,30,30,130,510,220,860
Downtown Core,Cecil,2018,10,20,0,0,0,20,40,40,40,20,20,10,0,0,0,0,0,0,30,190,0,220
Downtown Core,Central Subzone,2018,40,20,30,20,20,50,50,90,80,80,60,60,40,20,10,0,0,0,130,510,30,670
Downtown Core,Tanjong Pagar,2018,20,20,20,10,20,50,80,80,70,60,50,30,30,20,20,0,0,30,90,450,70,610
Geylang,Aljunied,2018,1330,1620,1720,1750,2070,2840,2800,2960,3220,3160,3020,3250,3060,2530,1680,1260,900,870,8490,24310,7240,40040
Geylang,Geylang East,2018,1260,1390,1410,1470,1800,2260,2010,2450,2440,2300,2180,2280,2400,1980,1470,930,610,540,7330,18320,5530,31180
Geylang,Kampong Ubi,2018,420,480,570,660,860,1190,880,860,840,790,920,1140,1090,740,420,240,100,100,2990,7710,1600,12300
Geylang,Macpherson,2018,1090,1000,1230,1410,1730,2000,1890,1750,1760,2030,2350,2460,2200,1720,1140,1040,670,600,6460,16440,5170,28070
Hougang,Hougang Central,2018,100,170,210,320,400,430,260,270,280,350,440,440,390,270,160,110,90,80,1200,2860,710,4770
Hougang,Hougang East,2018,1400,1150,1050,1220,1730,2260,2330,2150,1630,1590,1840,2110,1770,1210,730,450,240,200,6550,15680,2830,25060
Hougang,Hougang West,2018,1270,1470,1770,2340,3490,4180,3100,2800,2740,3090,3860,4800,4230,3070,1800,1140,660,510,10340,28800,7180,46320
Hougang,Kangkar,2018,1660,1370,1470,1650,1700,2200,2560,2250,2320,2260,2240,2280,2160,1610,1050,750,450,320,7850,18270,4180,30300
Hougang,Kovan,2018,900,1160,1320,1600,1800,2110,1560,1590,1910,2050,1900,2070,1970,1460,950,640,370,390,6780,15160,3810,25750
Hougang,Lorong Ah Soo,2018,970,1140,1520,1790,2030,2360,1980,2140,2260,2460,2600,2690,2670,2190,1500,1040,630,520,7450,19160,5880,32490
Hougang,Tai Seng,2018,470,650,680,830,1040,1070,810,830,880,1030,1120,1220,1120,910,530,440,310,280,3670,8080,2470,14220
Hougang,Trafalgar,2018,1680,2090,2330,2820,3270,3200,2660,2910,3210,3470,3860,3950,3310,2400,1400,820,500,420,12190,26570,5540,44300
Jurong East,Jurong Gateway,2018,20,20,20,30,30,40,40,40,40,50,30,20,20,10,0,0,0,0,120,280,10,410
Jurong East,Lakeside,2018,30,20,30,30,40,70,80,60,60,80,60,50,80,90,50,50,20,10,150,540,220,910
Jurong East,Teban Gardens,2018,930,910,910,1020,1070,1390,1350,1470,1390,1350,1400,1370,1390,1420,950,500,280,200,4840,11110,3350,19300
Jurong East,Toh Guan,2018,490,600,770,930,1140,1370,990,1010,1030,1190,1200,1390,1330,860,410,250,160,120,3930,9510,1800,15240
Jurong East,Yuhua East,2018,720,890,1150,1360,1550,1870,1740,1730,1830,1900,1890,2030,2280,1830,1190,740,400,390,5670,15270,4550,25490
Jurong East,Yuhua West,2018,700,780,990,1160,1310,1530,1280,1260,1370,1520,1540,1670,1660,1370,740,510,300,250,4940,11830,3170,19940
Jurong West,Boon Lay Place,2018,1800,1790,1650,1810,1870,2120,2590,2440,2270,2310,2260,2100,1710,1460,890,590,310,250,8920,17800,3500,30220
Jurong West,Hong Kah,2018,1910,2290,2790,3240,3480,4200,3620,3970,4080,4270,4180,4170,4430,3630,2180,1290,650,490,13710,32920,8240,54870
Jurong West,Jurong West Central,2018,3020,4170,4410,3970,3730,4730,4810,6340,6450,5560,4580,4250,4040,2730,1440,730,430,320,19300,40760,5650,65710
Jurong West,Taman Jurong,2018,2010,2110,2190,2570,2760,2790,2810,3150,2850,3250,3090,2690,2330,1760,1030,630,350,280,11640,22960,4050,38650
Jurong West,Wenya,2018,530,670,660,470,360,450,620,980,900,670,520,430,390,300,170,120,70,80,2690,4960,740,8390
