PA,AG,SX,PP
Ang Mo Kio,0_to_4,Males,0
Ang Mo Kio,0_to_4,Males,10
Ang Mo Kio,0_to_4,Males,10
Ang Mo Kio,0_to_4,Males,30
Ang Mo Kio,0_to_4,Males,0
Ang Mo Kio,0_to_4,Males,50
Ang Mo Kio,0_to_4,Males,0
Ang Mo Kio,0_to_4,Males,0
Ang Mo Kio,0_to_4,Females,0
Ang Mo Kio,0_to_4,Females,0
Ang Mo Kio,0_to_4,Females,10
Ang Mo Kio,0_to_4,Females,30
Ang Mo Kio,0_to_4,Females,0
Ang Mo Kio,0_to_4,Females,30
Ang Mo Kio,0_to_4,Females,0
Ang Mo Kio,0_to_4,Females,0
Ang Mo Kio,5_to_9,Males,0
Ang Mo Kio,5_to_9,Males,10
Ang Mo Kio,5_to_9,Males,10
Ang Mo Kio,5_to_9,Males,30
Ang Mo Kio,5_to_9,Males,0
Ang Mo Kio,5_to_9,Males,80
Ang Mo Kio,5_to_9,Males,0
Ang Mo Kio,5_to_9,Males,0
Ang Mo Kio,5_to_9,Females,0
Ang Mo Kio,5_to_9,Females,10
Ang Mo Kio,5_to_9,Females,10
Ang Mo Kio,5_to_9,Females,40
Ang Mo Kio,5_to_9,Females,0
Ang Mo Kio,5_to_9,Females,60
Ang Mo Kio,5_to_9,Females,0
Ang Mo Kio,5_to_9,Females,0
Ang Mo Kio,10_to_14,Males,0
Ang Mo Kio,10_to_14,Males,10
Ang Mo Kio,10_to_14,Males,10
Ang Mo Kio,10_to_14,Males,50
Ang Mo Kio,10_to_14,Males,0
Ang Mo Kio,10_to_14,Males,60
Ang Mo Kio,10_to_14,Males,0
Ang Mo Kio,10_to_14,Males,0
Ang Mo Kio,10_to_14,Females,0
Ang Mo Kio,10_to_14,Females,10
Ang Mo Kio,10_to_14,Females,20
Ang Mo Kio,10_to_14,Females,50
Ang Mo Kio,10_to_14,Females,0
Ang Mo Kio,10_to_14,Females,80
Ang Mo Kio,10_to_14,Females,0
Ang Mo Kio,10_to_14,Females,0
Ang Mo Kio,15_to_19,Males,0
Ang Mo Kio,15_to_19,Males,0
Ang Mo Kio,15_to_19,Males,20
Ang Mo Kio,15_to_19,Males,40
Ang Mo Kio,15_to_19,Males,0
Ang Mo Kio,15_to_19,Males,80
Ang Mo Kio,15_to_19,Males,0
Ang Mo Kio,15_to_19,Males,0
Ang Mo Kio,15_to_19,Females,0
Ang Mo Kio,15_to_19,Females,10
Ang Mo Kio,15_to_19,Females,20
Ang Mo Kio,15_to_19,Females,50
Ang Mo Kio,15_to_19,Females,0
Ang Mo Kio,15_to_19,Females,90
Ang Mo Kio,15_to_19,Females,0
Ang Mo Kio,15_to_19,Females,0
Ang Mo Kio,20_to_24,Males,0
Ang Mo Kio,20_to_24,Males,10
Ang Mo Kio,20_to_24,Males,10
Ang Mo Kio,20_to_24,Males,40
Ang Mo Kio,20_to_24,Males,0
Ang Mo Kio,20_to_24,Males,90
Ang Mo Kio,20_to_24,Males,0
Ang Mo Kio,20_to_24,Males,0
Ang Mo Kio,20_to_24,Females,0
Ang Mo Kio,20_to_24,Females,10
Ang Mo Kio,20_to_24,Females,10
Ang Mo Kio,20_to_24,Females,50
Ang Mo Kio,20_to_24,Females,0
Ang Mo Kio,20_to_24,Females,70
Ang Mo Kio,20_to_24,Females,0
Ang Mo Kio,20_to_24,Females,0
Ang Mo Kio,25_to_29,Males,0
Ang Mo Kio,25_to_29,Males,20
Ang Mo Kio,25_to_29,Males,10
Ang Mo Kio,25_to_29,Males,60
Ang Mo Kio,25_to_29,Males,0
Ang Mo Kio,25_to_29,Males,50
Ang Mo Kio,25_to_29,Males,0
Ang Mo Kio,25_to_29,Males,0
Ang Mo Kio,25_to_29,Females,0
Ang Mo Kio,25_to_29,Females,10
Ang Mo Kio,25_to_29,Females,10
Ang Mo Kio,25_to_29,Females,40
Ang Mo Kio,25_to_29,Females,0
Ang Mo Kio,25_to_29,Females,70
Ang Mo Kio,25_to_29,Females,0
Ang Mo Kio,25_to_29,Females,0
Ang Mo Kio,30_to_34,Males,0
Ang Mo Kio,30_to_34,Males,20
Ang Mo Kio,30_to_34,Males,20
Ang Mo Kio,30_to_34,Males,60
Ang Mo Kio,30_to_34,Males,0
Ang Mo Kio,30_to_34,Males,50
Ang Mo Kio,30_to_34,Males,0
Ang Mo Kio,30_to_34,Males,0
Ang Mo Kio,30_to_34,Females,0
Ang Mo Kio,30_to_34,Females,10
Ang Mo Kio,30_to_34,Females,20
Ang Mo Kio,30_to_34,Females,70
Ang Mo Kio,30_to_34,Females,0
Ang Mo Kio,30_to_34,Females,50
Ang Mo Kio,30_to_34,Females,0
Ang Mo Kio,30_to_34,Females,0
Ang Mo Kio,35_to_39,Males,0
Ang Mo Kio,35_to_39,Males,20
Ang Mo Kio,35_to_39,Males,20
