PA,SX,AG,Subsum
Ang Mo Kio,Females,0_to_4,2480
Ang Mo Kio,Females,10_to_14,3320
Ang Mo Kio,Females,15_to_19,3620
Ang Mo Kio,Females,20_to_24,4030
Ang Mo Kio,Females,25_to_29,5020
Ang Mo Kio,Females,30_to_34,5650
Ang Mo Kio,Females,35_to_39,5120
Ang Mo Kio,Females,40_to_44,5970
Ang Mo Kio,Females,45_to_49,6350
Ang Mo Kio,Females,5_to_9,3120
Ang Mo Kio,Females,50_to_54,5970
Ang Mo Kio,Females,55_to_59,6260
Ang Mo Kio,Females,60_to_64,6240
Ang Mo Kio,Females,65_to_69,6590
Ang Mo Kio,Females,70_to_74,5780
Ang Mo Kio,Females,75_to_79,3700
Ang Mo Kio,Females,80_to_84,2840
Ang Mo Kio,Females,85_to_89,1410
Ang Mo Kio,Females,90_and_over,940
Ang Mo Kio,Males,0_to_4,2530
Ang Mo Kio,Males,10_to_14,3350
Ang Mo Kio,Males,15_to_19,3780
Ang Mo Kio,Males,20_to_24,4250
Ang Mo Kio,Males,25_to_29,4960
Ang Mo Kio,Males,30_to_34,5330
Ang Mo Kio,Males,35_to_39,4550
Ang Mo Kio,Males,40_to_44,5180
Ang Mo Kio,Males,45_to_49,5520
Ang Mo Kio,Males,5_to_9,3020
Ang Mo Kio,Males,50_to_54,5630
Ang Mo Kio,Males,55_to_59,6040
Ang Mo Kio,Males,60_to_64,6210
Ang Mo Kio,Males,65_to_69,5510
Ang Mo Kio,Males,70_to_74,4930
Ang Mo Kio,Males,75_to_79,2970
Ang Mo Kio,Males,80_to_84,2030
Ang Mo Kio,Males,85_to_89,960
Ang Mo Kio,Males,90_and_over,410
Bedok,Females,0_to_4,4970
Bedok,Females,10_to_14,6220
Bedok,Females,15_to_19,6660
Bedok,Females,20_to_24,7310
Bedok,Females,25_to_29,8820
Bedok,Females,30_to_34,10050
Bedok,Females,35_to_39,9380
Bedok,Females,40_to_44,10330
Bedok,Females,45_to_49,10850
Bedok,Females,5_to_9,5700
Bedok,Females,50_to_54,10170
Bedok,Females,55_to_59,10570
Bedok,Females,60_to_64,11070
Bedok,Females,65_to_69,10300
Bedok,Females,70_to_74,8710
Bedok,Females,75_to_79,5180
Bedok,Females,80_to_84,3750
Bedok,Females,85_to_89,2140
Bedok,Females,90_and_over,1440
Bedok,Males,0_to_4,5090
Bedok,Males,10_to_14,6440
Bedok,Males,15_to_19,6770
Bedok,Males,20_to_24,7860
Bedok,Males,25_to_29,9060
Bedok,Males,30_to_34,9750
Bedok,Males,35_to_39,8250
Bedok,Males,40_to_44,8860
Bedok,Males,45_to_49,9880
Bedok,Males,5_to_9,5960
Bedok,Males,50_to_54,9880
Bedok,Males,55_to_59,10080
Bedok,Males,60_to_64,10580
Bedok,Males,65_to_69,9470
Bedok,Males,70_to_74,7920
Bedok,Males,75_to_79,4470
Bedok,Males,80_to_84,2740
Bedok,Males,85_to_89,1300
Bedok,Males,90_and_over,660
Bishan,Females,0_to_4,1320
Bishan,Females,10_to_14,1870
Bishan,Females,15_to_19,2150
Bishan,Females,20_to_24,2270
Bishan,Females,25_to_29,3080
Bishan,Females,30_to_34,3200
Bishan,Females,35_to_39,2600
Bishan,Females,40_to_44,2960
Bishan,Females,45_to_49,3200
Bishan,Females,5_to_9,1650
Bishan,Females,50_to_54,3230
Bishan,Females,55_to_59,3550
Bishan,Females,60_to_64,3600
Bishan,Females,65_to_69,3250
Bishan,Females,70_to_74,2510
Bishan,Females,75_to_79,1520
Bishan,Females,80_to_84,1160
Bishan,Females,85_to_89,670
Bishan,Females,90_and_over,500
Bishan,Males,0_to_4,1400
