town,flat_type,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price
ANG MO KIO,3 ROOM,ANG MO KIO AVE 1,07 TO 09,73,New Generation,1977,358000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 1,07 TO 09,67,New Generation,1978,355000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 1,07 TO 09,68,New Generation,1981,338000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,07 TO 09,82,New Generation,1980,420000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1980,328000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,01 TO 03,83,New Generation,1979,360000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1980,300000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,333000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,386000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1980,330000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1980,325000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,10 TO 12,75,New Generation,1980,372000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,318000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1979,345000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,01 TO 03,82,New Generation,1980,368000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,315000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,345000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,13 TO 15,67,New Generation,1984,382888
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,337000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1979,363000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1980,342000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,320000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1979,330000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,370000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,01 TO 03,74,New Generation,1979,330000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,07 TO 09,67,New Generation,1977,335000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,07 TO 09,73,New Generation,1979,380000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1978,322000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,01 TO 03,73,New Generation,1979,329000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,07 TO 09,67,New Generation,1977,352000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1977,343888
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,07 TO 09,82,New Generation,1978,386888
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1978,335000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,07 TO 09,73,New Generation,1979,335000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 4,10 TO 12,74,New Generation,1978,373888
ANG MO KIO,3 ROOM,ANG MO KIO AVE 4,04 TO 06,68,New Generation,1981,350000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 4,01 TO 03,60,Improved,1986,342000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 4,10 TO 12,67,New Generation,1985,341888
ANG MO KIO,3 ROOM,ANG MO KIO AVE 4,07 TO 09,60,Improved,1986,335000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 4,04 TO 06,68,New Generation,1981,328888
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,10 TO 12,81,New Generation,1980,383000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,07 TO 09,82,New Generation,1981,370000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,10 TO 12,81,New Generation,1980,390000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,10 TO 12,67,New Generation,1980,340000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,07 TO 09,68,New Generation,1981,345000
ANG MO KIO,3 ROOM,ANG MO KIO AVE 8,10 TO 12,68,New Generation,1980,370888
ANG MO KIO,3 ROOM,ANG MO KIO AVE 8,04 TO 06,67,New Generation,1980,346000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 10,10 TO 12,92,New Generation,1979,488000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 10,13 TO 15,92,New Generation,1980,452888
ANG MO KIO,4 ROOM,ANG MO KIO AVE 10,07 TO 09,99,New Generation,1979,460000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 10,04 TO 06,93,New Generation,1984,448000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 10,01 TO 03,92,New Generation,1979,419000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 10,01 TO 03,92,New Generation,1979,405000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 10,01 TO 03,92,New Generation,1981,410000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 10,01 TO 03,92,New Generation,1979,435000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,04 TO 06,98,New Generation,1978,528000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,10 TO 12,92,New Generation,1978,455000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,04 TO 06,98,New Generation,1979,448000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 4,13 TO 15,92,New Generation,1982,475000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 5,07 TO 09,100,New Generation,1980,480000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 5,01 TO 03,91,New Generation,1980,400000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 6,10 TO 12,91,New Generation,1980,518000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 6,01 TO 03,91,New Generation,1980,430000
ANG MO KIO,4 ROOM,ANG MO KIO AVE 9,10 TO 12,106,Model A,1993,615000
ANG MO KIO,4 ROOM,ANG MO KIO ST 21,25 TO 27,93,Model A,2018,838000
ANG MO KIO,4 ROOM,ANG MO KIO ST 31,16 TO 18,90,Model A,2006,625000
ANG MO KIO,4 ROOM,ANG MO KIO ST 52,04 TO 06,85,Model A,2003,507999
ANG MO KIO,5 ROOM,ANG MO KIO AVE 10,19 TO 21,119,Improved,1979,650000
ANG MO KIO,5 ROOM,ANG MO KIO AVE 10,16 TO 18,120,Improved,1980,600000
ANG MO KIO,5 ROOM,ANG MO KIO AVE 10,22 TO 24,118,Improved,1980,670000
ANG MO KIO,5 ROOM,ANG MO KIO AVE 5,10 TO 12,118,Improved,1980,603000
ANG MO KIO,5 ROOM,ANG MO KIO AVE 5,01 TO 03,125,Improved,1980,570000
ANG MO KIO,5 ROOM,ANG MO KIO ST 32,04 TO 06,110,Improved,2001,710000
ANG MO KIO,5 ROOM,ANG MO KIO ST 32,04 TO 06,110,Improved,2001,695000
ANG MO KIO,5 ROOM,ANG MO KIO ST 32,22 TO 24,110,Improved,2001,755000
ANG MO KIO,5 ROOM,ANG MO KIO ST 52,01 TO 03,120,DBSS,2011,780000
ANG MO KIO,5 ROOM,ANG MO KIO ST 52,28 TO 30,120,DBSS,2011,1100000
ANG MO KIO,5 ROOM,ANG MO KIO ST 52,19 TO 21,112,DBSS,2011,1028888
BEDOK,3 ROOM,BEDOK CTRL,10 TO 12,69,Model A,2010,540000
BEDOK,3 ROOM,BEDOK NTH AVE 1,04 TO 06,68,New Generation,1980,325000
BEDOK,3 ROOM,BEDOK NTH AVE 1,01 TO 03,67,New Generation,1979,320000
BEDOK,3 ROOM,BEDOK NTH AVE 1,10 TO 12,68,New Generation,1980,338000
BEDOK,3 ROOM,BEDOK NTH AVE 1,07 TO 09,67,New Generation,1979,360000
BEDOK,3 ROOM,BEDOK NTH AVE 2,07 TO 09,67,New Generation,1978,370000
BEDOK,3 ROOM,BEDOK NTH AVE 2,01 TO 03,67,New Generation,1979,300000
BEDOK,3 ROOM,BEDOK NTH AVE 2,04 TO 06,82,New Generation,1978,388000
BEDOK,3 ROOM,BEDOK NTH AVE 3,10 TO 12,67,New Generation,1979,330000
BEDOK,3 ROOM,BEDOK NTH AVE 4,10 TO 12,67,New Generation,1977,345000
BEDOK,3 ROOM,BEDOK NTH AVE 4,10 TO 12,82,New Generation,1978,370000
BEDOK,3 ROOM,BEDOK NTH RD,10 TO 12,67,New Generation,1978,330000
BEDOK,3 ROOM,BEDOK NTH RD,10 TO 12,73,New Generation,1978,360000
BEDOK,3 ROOM,BEDOK NTH RD,13 TO 15,60,Improved,1986,338000
BEDOK,3 ROOM,BEDOK NTH ST 1,01 TO 03,68,New Generation,1979,372000
BEDOK,3 ROOM,BEDOK NTH ST 1,10 TO 12,68,New Generation,1979,379000
BEDOK,3 ROOM,BEDOK NTH ST 1,10 TO 12,68,New Generation,1979,398000
BEDOK,3 ROOM,BEDOK NTH ST 1,07 TO 09,68,New Generation,1980,380000
