"Month","Afghanistan (Thousand Dollars)","Africa (Million Dollars)","America (Million Dollars)","Argentina (Thousand Dollars)","Asia (Million Dollars)","Australia (Thousand Dollars)","Austria (Thousand Dollars)","Bahrain (Thousand Dollars)","Bangladesh (Thousand Dollars)","Belgium (Thousand Dollars)","Brazil (Thousand Dollars)","Brunei Darussalam (Thousand Dollars)","Cambodia (Thousand Dollars)","Canada (Thousand Dollars)","Chile (Thousand Dollars)","Colombia (Thousand Dollars)","Cyprus (Thousand Dollars)","Czech Republic (Thousand Dollars)","Denmark (Thousand Dollars)","Ecuador (Thousand Dollars)","Estonia (Thousand Dollars)","Europe (Million Dollars)","European Union (Million Dollars)","Fiji (Thousand Dollars)","Finland (Thousand Dollars)","France (Thousand Dollars)","French Polynesia (Thousand Dollars)","Germany, Democratic Republic Of (Thousand Dollars)","Germany, Federal Republic Of (Thousand Dollars)","Greece (Thousand Dollars)","Guam (Thousand Dollars)","Hong Kong (Thousand Dollars)","Hungary (Thousand Dollars)","India (Thousand Dollars)","Indonesia (Thousand Dollars)","Iran (Islamic Republic Of) (Thousand Dollars)","Ireland (Thousand Dollars)","Israel (Thousand Dollars)","Italy (Thousand Dollars)","Japan (Thousand Dollars)","Jordan (Thousand Dollars)","Kuwait (Thousand Dollars)","Laos People's Democratic Republic (Thousand Dollars)","Latvia (Thousand Dollars)","Lebanon (Thousand Dollars)","Lithuania (Thousand Dollars)","Luxembourg (Thousand Dollars)","Macau (Thousand Dollars)","Mainland China (Thousand Dollars)","Malaysia (Thousand Dollars)","Maldives, Republic Of (Thousand Dollars)","Malta (Thousand Dollars)","Mexico (Thousand Dollars)","Myanmar (Thousand Dollars)","Nepal (Thousand Dollars)","Netherlands (Thousand Dollars)","New Caledonia (Thousand Dollars)","New Zealand (Thousand Dollars)","Oceania (Million Dollars)","Oman (Thousand Dollars)","Other Countries In Oceania (Thousand Dollars)","Pakistan (Thousand Dollars)","Papua New Guinea (Thousand Dollars)","Paraguay (Thousand Dollars)","Peru (Thousand Dollars)","Philippines (Thousand Dollars)","Poland (Thousand Dollars)","Portugal (Thousand Dollars)","Puerto Rico (Thousand Dollars)","Qatar (Thousand Dollars)","Republic Of Korea (Thousand Dollars)","Saudi Arabia (Thousand Dollars)","Slovak Republic (Slovakia) (Thousand Dollars)","Slovenia (Thousand Dollars)","Solomon Islands (Thousand Dollars)","Spain (Thousand Dollars)","Sri Lanka (Thousand Dollars)","Sweden (Thousand Dollars)","Switzerland (Thousand Dollars)","Syrian Arab Republic (Thousand Dollars)","Taiwan (Thousand Dollars)","Thailand (Thousand Dollars)","Total Merchandise Exports (Thousand Dollars)","United Arab Emirates (Thousand Dollars)","United Kingdom (Thousand Dollars)","United States (Thousand Dollars)","Uruguay (Thousand Dollars)","Venezuela (Thousand Dollars)","Vietnam, Socialist Republic Of (Thousand Dollars)","Yemen (Thousand Dollars)","Yemen Democratic (Thousand Dollars)"
"January",527,688.8,6576.2,21644,40021,1650218,39656,29439,406728,702940,241165,77716,1295867,120336,44153,12948,34039,50034,32037,6781,5099,4878.2,4101.8,43159,61822,446179,17243,0,784687,98550,23026,6509744,54758,1633973,3691849,1140,32085,97565,114199,2225689,9224,37106,12861,7263,2256,1415,10674,20555,7163479,4826818,28876,160475,212582,325864,27163,1133245,47347,285224,2681.5,117675,531186,109592,80775,1677,8443,1082779,60979,56042,61126,56135,2139479,92452,7025,36764,6286,67787,156549,13597,297857,54,2849971,2225138,54845697,810537,330083,5127133,1943,285,1798392,889,0
"February",411,780.5,5396.8,17621,37113.1,1492564,22749,19719,674445,1007201,224065,95335,630559,134416,7132,11796,50104,55495,26675,4926,1572,6128.8,4199.2,21832,23829,382847,15961,0,722681,137793,64137,6514766,70320,1470299,3439005,1239,19881,82905,99591,2195357,6404,13719,2489,2661,987,3576,21589,36011,6929035,4802094,21129,169550,200534,519274,17047,1204414,25375,275263,2572.3,59577,578405,104044,96879,382,11823,898526,39804,69206,42760,92609,1725244,68465,3637,3112,4775,25349,136719,14674,225132,839,2484476,1645446,51991457,505840,451265,4036717,1558,109,1770380,1326,0
"March",179,948.8,7933,21158,45030.9,2063439,62120,35338,774546,1446036,247555,91187,339098,100621,9391,14728,66532,64250,34340,7893,1681,6166,5175.2,24209,52902,457987,4862,0,894561,100539,5537,6807217,65669,1733946,4196284,462,47636,106120,115529,2673309,10855,21471,10026,6756,1856,2763,70418,27876,8912350,6247336,24635,164505,225644,670528,20211,1247649,40725,317564,3054,73446,508917,136729,90348,419,7640,1206732,50459,70003,72734,106031,2390691,101324,3207,3457,5274,90387,145333,24562,448109,88,3112130,1997489,63132579,675048,426125,6504517,931,369,2236449,1368,0
"April",72,1206.6,7075.6,19646,42328.6,2138137,33756,21131,623837,668060,226969,140971,629986,135415,15877,12163,77063,77050,34748,8359,7380,5726.7,4780.7,74612,53139,489309,3156,0,809678,123358,33498,6769192,98504,1671860,4344070,2115,77319,123517,122721,2464468,9218,13101,47951,8474,1722,2665,54066,24195,7481265,5784848,22845,243822,221708,276456,15405,1404974,38537,772144,3899.9,80599,742237,124061,90152,494,9506,1225542,65823,138630,44964,83902,2343752,92988,5283,4834,9826,53408,94393,20895,466125,54,3158164,2071321,60237343,530153,378595,5451780,1239,438,1922464,351,0
"May",101,914.2,6341.1,20947,43779.3,1941642,28787,10005,577713,617646,223271,75842,1485468,135649,10700,21873,49038,56782,37237,6320,7103,5141.7,4354.5,59035,25604,466344,3038,0,780294,133089,54722,7486002,56842,1441178,4809421,2358,179510,130846,90730,2329546,5789,15363,3820,5070,1597,3397,63757,30190,6757831,6755655,15855,236254,233505,493861,18189,1290748,99705,640105,3671.1,15375,681505,96075,178814,523,9728,1194254,51670,82412,68112,95147,2146717,87918,4547,1988,18051,27936,94567,11129,279856,0,2832744,2033102,59847424,735218,391484,4487599,2026,180,1872698,294,0
"June",138,1214.7,7508.6,19515,46328.8,2215085,35724,59388,857101,588520,262228,142268,1042776,117975,13614,16538,98984,39967,34269,8296,3963,5455.3,4609.4,89238,64664,424547,2477,0,921251,164807,110238,7717915,74596,1595699,4555767,1091,134281,116551,124441,2472924,10111,19183,2897,18929,2059,1482,59945,19416,7516364,7049568,28239,268961,277688,472359,17375,1249897,45761,411583,3669.6,19072,707093,154897,86614,1521,11348,1455141,57747,86877,88641,91131,2915966,99753,4725,5771,5764,91769,54396,22822,309727,84,3102858,1931552,64177050,456655,397429,5413551,1693,28,2151719,1060,0
"July",240,1097.6,6731.2,14329,46129.5,2252228,30552,10775,555989,991586,215066,107918,1698433,98556,45894,12527,68329,36867,48586,6480,1676,6250.6,5497,66873,50463,459094,22831,0,1279156,166037,31277,6138562,58378,1637019,5333607,374,109400,153543,120489,2327064,12002,20377,6565,9284,1505,2261,27007,16838,7792074,6672175,18970,243500,374213,737588,18883,1477881,53846,626090,3916.1,78456,728717,313964,117535,222,9116,1430283,57658,141847,88272,96592,2397646,131655,7196,6190,21651,52271,73049,19968,246381,147,3301359,2197398,64124991,586314,405922,4854897,2455,261,2086867,567,0
"August",232,1608.5,7931,43246,44106.2,2060828,36414,48485,534857,570824,258914,101311,1087906,131512,12651,17219,70390,53328,42761,10004,2590,6109.6,5020.5,49089,30590,454328,4153,0,1291942,191678,73882,6466344,80433,1593916,4684693,810,68379,138756,126344,2311824,9380,34121,3719,4005,1380,3363,9801,26644,7548001,6150507,32331,229646,258392,455447,16029,1512800,39826,471479,3608.4,68168,823524,132621,75179,283,9050,1654932,48436,100757,32665,101056,2412712,119219,8491,2361,13854,41036,121017,18788,440859,0,2621213,2254888,63363749,975155,498657,6094432,2100,136,2259090,1463,0
"September",453,1201.8,7091.9,52858,45605.1,1923247,60601,41003,547112,386724,274320,81269,1504662,134488,44538,20157,64638,40588,44793,11642,2292,5155.1,4065.4,89525,45266,358786,2743,0,912066,150911,50413,7405741,60851,1817817,4373980,548,61522,111282,125791,2481370,7608,42895,27116,9914,1082,2474,7283,18310,7133642,5884698,30156,248160,231403,509268,15734,1181847,29359,528450,3453.3,19112,708359,226902,114715,1297,10393,1367212,53511,149219,74606,95392,2896148,310368,11752,2679,9035,35478,191920,21764,579719,85,2875136,2241114,62507132,813202,379348,5278523,969,64,2375792,1464,0
"October",345,1185.6,6653.9,23605,40500.8,1628700,60000,121596,465380,350565,202358,67063,594395,110044,7161,16109,62302,43738,67327,6672,1321,5121.5,4298.1,70864,65311,529962,34617,0,1035273,121392,76617,5137172,39889,1395949,4075989,2586,117698,78544,155578,2406706,7316,40943,7222,7758,1148,4156,6334,21959,7810503,6233818,21845,220098,282600,461908,13355,1189965,38811,499540,3114.5,45914,658085,66674,102466,987,7898,1229078,47942,81811,49109,99750,2330102,242241,11506,5236,7749,32247,93118,21361,362032,116,3034201,1965567,56576348,573275,357153,5070780,1885,676,1730554,700,0
