"Month","Afghanistan (Thousand Dollars)","Africa (Million Dollars)","America (Million Dollars)","Anguilla (Thousand Dollars)","Argentina (Thousand Dollars)","Asia (Million Dollars)","Australia (Thousand Dollars)","Austria (Thousand Dollars)","Bahamas (Thousand Dollars)","Bahrain (Thousand Dollars)","Bangladesh (Thousand Dollars)","Belgium (Thousand Dollars)","Bermuda (Thousand Dollars)","Brazil (Thousand Dollars)","Brunei Darussalam (Thousand Dollars)","Cambodia (Thousand Dollars)","Canada (Thousand Dollars)","Chile (Thousand Dollars)","Cocos (Keeling) Islands (Thousand Dollars)","Colombia (Thousand Dollars)","Commonwealth Of Independent States (Thousand Dollars)","Cook Islands (Thousand Dollars)","Cyprus (Thousand Dollars)","Czech Republic (Thousand Dollars)","Denmark (Thousand Dollars)","Ecuador (Thousand Dollars)","Estonia (Thousand Dollars)","Europe (Million Dollars)","European Union (Million Dollars)","Fiji (Thousand Dollars)","Finland (Thousand Dollars)","France (Thousand Dollars)","French Guiana (Thousand Dollars)","French Polynesia (Thousand Dollars)","French Southern Territories (Thousand Dollars)","Germany, Democratic Republic Of (Thousand Dollars)","Germany, Federal Republic Of (Thousand Dollars)","Greece (Thousand Dollars)","Grenada (Thousand Dollars)","Guam (Thousand Dollars)","Guatemala (Thousand Dollars)","Honduras (Thousand Dollars)","Hong Kong (Thousand Dollars)","Hungary (Thousand Dollars)","India (Thousand Dollars)","Indonesia (Thousand Dollars)","Iran (Islamic Republic Of) (Thousand Dollars)","Ireland (Thousand Dollars)","Israel (Thousand Dollars)","Italy (Thousand Dollars)","Jamaica (Thousand Dollars)","Japan (Thousand Dollars)","Jordan (Thousand Dollars)","Kiribati (Thousand Dollars)","Kuwait (Thousand Dollars)","Laos People's Democratic Republic (Thousand Dollars)","Latvia (Thousand Dollars)","Lebanon (Thousand Dollars)","Liechtenstein (Thousand Dollars)","Lithuania (Thousand Dollars)","Luxembourg (Thousand Dollars)","Macau (Thousand Dollars)","Mainland China (Thousand Dollars)","Malaysia (Thousand Dollars)","Maldives, Republic Of (Thousand Dollars)","Malta (Thousand Dollars)","Mexico (Thousand Dollars)","Micronesia (Thousand Dollars)","Myanmar (Thousand Dollars)","Nauru (Thousand Dollars)","Nepal (Thousand Dollars)","Netherlands (Thousand Dollars)","Netherlands Antilles (Thousand Dollars)","New Caledonia (Thousand Dollars)","New Zealand (Thousand Dollars)","Niue (Thousand Dollars)","Norfolk Island (Thousand Dollars)","Norway (Thousand Dollars)","Oceania (Million Dollars)","Oman (Thousand Dollars)","Other Countries In America (Thousand Dollars)","Other Countries In Oceania (Thousand Dollars)","Pakistan (Thousand Dollars)","Palau (Thousand Dollars)","Panama (Thousand Dollars)","Papua New Guinea (Thousand Dollars)","Paraguay (Thousand Dollars)","Peru (Thousand Dollars)","Philippines (Thousand Dollars)","Poland (Thousand Dollars)","Portugal (Thousand Dollars)","Puerto Rico (Thousand Dollars)","Qatar (Thousand Dollars)","Republic Of Korea (Thousand Dollars)","Saudi Arabia (Thousand Dollars)","Slovak Republic (Slovakia) (Thousand Dollars)","Slovenia (Thousand Dollars)","Solomon Islands (Thousand Dollars)","South Sudan (Thousand Dollars)","Spain (Thousand Dollars)","Sri Lanka (Thousand Dollars)","St Vincent & The Grenadines (Thousand Dollars)","Sweden (Thousand Dollars)","Switzerland (Thousand Dollars)","Syrian Arab Republic (Thousand Dollars)","Taiwan (Thousand Dollars)","Thailand (Thousand Dollars)","Total Merchandise Imports (Thousand Dollars)","Trinidad & Tobago (Thousand Dollars)","Tuvalu (Thousand Dollars)","United Arab Emirates (Thousand Dollars)","United Kingdom (Thousand Dollars)","United States (Thousand Dollars)","Uruguay (Thousand Dollars)","Venezuela (Thousand Dollars)","Vietnam, Socialist Republic Of (Thousand Dollars)","Wallis & Fatuna Islands (Thousand Dollars)","Yemen (Thousand Dollars)","Yemen Democratic (Thousand Dollars)"
"2022 Apr",20,591.9,7822.1,4,6341,38735.7,1454940,82248,2,76907,18850,146603,0,836482,446823,22457,204489,9497,1,16128,250158,17,1889,72601,55538,3323,52312,7407.2,5375.2,379,98354,1553618,36,141,7,0,1282312,117955,2,44,1381,443,360880,37592,1159602,2401307,191,86763,101182,534144,125,3273519,4772,1,21012,13936,4620,50,4006,53185,2296,3293,6153885,6958619,41,26320,245392,9,6443,0,1026,574480,3,5,92299,0,57,55664,1559.1,63758,35968,254,9552,0,327,10765,422,1267,1126651,68894,32570,16699,567212,3557581,767599,8311,7804,0,0,274544,11842,0,163301,844154,0,6866989,1529457,56116002,55,0,2076593,873970,6441534,2387,140,821194,0,341,0
"2022 Aug",107,551.2,8633.8,9,11801,40911.9,696980,105197,0,7085,36996,132917,2,968690,311958,21829,599499,75458,7,9806,170747,0,2499,76026,126150,1931,7588,7433.2,5131,185,38114,1624646,431,38,8,0,1135242,170197,8,86,2170,793,319470,39917,908131,2301232,255,193225,126174,592000,137,3100676,3782,0,56351,36150,3549,337,3380,6345,31284,3219,8196629,7225607,37,40703,247995,10,8313,0,559,339001,0,186,133089,0,101,36231,935.9,73156,40996,441,9692,6,424,104656,513,1888,1121526,64268,45507,14898,827737,3841813,1081996,10549,7957,2,0,200170,12789,0,107557,1420434,0,7174679,1511871,58466009,80568,0,1629843,753406,6575058,806,803,688285,0,151,0
"2022 Dec",61,414.9,6901.5,0,11273,33611.7,1253373,104665,11,44949,27270,103655,0,1004171,143124,25899,211232,16649,2,7915,559381,0,21698,69549,67665,4475,5378,7541.8,5058.8,243,42399,1537347,123,210,46,0,1129542,99085,6,35,570,1457,240017,44406,834657,2074781,317,106678,98717,702472,93,2618288,8265,0,639,7281,4288,332,2250,13594,8156,1376,7642587,6017970,103,41040,277739,29,7486,14,221,384010,0,18,122266,80,1,50581,1399.9,72624,37931,1577,7334,1,127,23124,681,3464,592778,61324,31026,8375,640131,3207322,801168,9115,7106,3,33107,262629,10737,0,162253,992687,0,5357878,1116398,49869770,64,0,1212293,940088,5314219,635,89,567388,0,629,0
"2022 Feb",99,668.5,5385.2,1,8302,31611.3,744590,80431,6,1358,16678,247242,0,458528,161909,15084,197815,36587,0,5529,602562,0,28179,60391,40370,4001,20506,6479,4064.1,215,30725,1074703,930,40,32,0,1074201,40633,18,52,1895,253,210038,27612,1038814,1752288,316,110898,151344,452391,104,2496003,2531,0,3188,4162,2888,121,2804,8831,7456,3225,4799291,5333950,96,81616,183348,19,5771,20,28582,213278,5,59,55143,2,11,46708,814.4,26302,25285,1231,16731,0,29,13742,404,846,962299,57103,26909,14619,599833,3042073,1040074,6294,5385,3,0,160044,10057,0,175309,988959,0,6469836,1231562,44958373,30,0,1486825,769356,4444812,3137,17,445527,0,454,0
"2022 Jan",20,529.9,5850.9,2,9694,35014,682538,83123,47,4480,21085,170868,0,794992,118376,21450,227718,8949,3,87646,851550,0,3387,63267,142017,17491,6857,7821.6,4561.2,470,59916,1426667,14,58,258,0,1038822,17780,2,69,1603,274,514054,37471,851347,1854041,754,82200,99841,567318,44,2448743,6037,0,18171,16693,3324,121,2951,52056,32098,1829,6387242,6180062,145,18169,201662,3,6836,10,868,261220,0,22,115683,0,23,54280,810.4,44336,24530,555,6204,0,102,10972,172,1656,1024236,60535,79995,7191,429490,3341610,920723,9865,5564,0,0,161163,10925,0,149089,1374633,0,6978727,1239894,50026788,68,0,1619973,948415,4451719,15600,38,561237,178,2,0
"2022 Jul",82,574.4,7879.7,0,10327,43214.2,924529,118935,6,165713,18815,224676,1,928891,248815,27796,284927,20111,1,1927,268726,0,1199,82010,55752,2226,8844,8300.5,5233.5,601,91645,1555500,359,493,4,0,1207446,207744,0,12160,3463,780,624415,48975,1022364,2032018,44,107148,99014,570591,24,3440363,5333,0,117344,1707,3910,475,3229,3338,9766,982,8510236,7243882,21,54619,402686,8,7363,0,632,359653,0,25,97855,0,0,49789,1060.6,71377,40731,2880,4988,0,131,21087,423,3042,1358580,57608,46337,16567,692186,4382579,1003667,10839,7600,0,12,178600,13242,0,181260,1937455,0,7306972,1636787,61029374,3033,0,2225339,802819,6158055,5398,442,759728,0,499,0
"2022 Jun",8,675.9,8024,2,11559,42507.2,1020536,114118,14704,197690,20745,114704,0,1070887,247045,13225,215581,11018,0,84394,262627,1,1848,84960,50966,5653,6260,7300.2,5135.8,320,73548,1535920,195,2730,1,0,1108916,108596,13,45,1168,228,333510,44843,1251445,2244033,258,154789,106901,606990,96,3194697,8573,0,2626,19064,3546,92,3055,135585,32019,4107,7976196,7528135,4,21429,301939,22,6221,18,385,265196,0,10,102003,0,9,53425,1141.8,129614,62285,1032,6725,0,403,15351,832,12092,1219107,64196,46698,9667,651773,4120895,946997,7301,6371,5,16751,317461,13958,1,168909,941426,32,7548824,2034027,59649162,73,0,1812158,909903,6219803,1982,251,706136,0,245,0
"2022 Mar",10,636.9,7176.1,1,6657,42199.9,759708,106396,0,4672,19840,319393,1,516453,178316,45772,253586,17065,14,29549,80641,0,1189,80205,76044,3042,5249,7203.2,5137.2,634,58259,1289677,2,50,9,0,1259702,10073,41,104,1931,320,383912,38279,1023825,2245632,790,127647,147553,549561,44,3429885,4639,1,105396,22579,3726,188,2640,53700,3539,3104,6635528,7882249,9,23192,237988,3,7434,543,150,423978,5,92,84730,2,0,90633,863.9,28076,29530,1570,8074,137,193,16279,557,1044,1112063,82195,27227,8633,304196,4028469,1701009,8786,6130,0,0,295111,10342,0,257417,1000366,4,7467443,2248986,58079982,24,0,2307579,886714,5939553,130093,4,636576,0,172,0
"2022 May",85,352.9,8521.1,1,16397,40534.7,977494,116496,11,293928,23744,116817,6,954871,307654,16501,200837,15492,0,50735,7728,83,2307,111863,51216,4066,7884,7030.8,4551.3,458,87196,1365379,122,2894,83,0,1095451,47795,1,9,2804,238,431788,36746,885584,2242187,328,114569,94229,555654,47,3842940,8687,15,158838,17428,4452,79,3438,12346,4651,2484,7478079,6664440,134,25475,274105,20,7012,262,279,279506,0,102,155635,0,70,44564,1164.7,32226,63491,422,6176,0,337,27361,945,7394,1165111,68693,36291,12158,557744,3678194,1441814,9303,7274,8,0,189520,10004,0,170417,1433645,0,6676629,1440319,57604263,47,0,2110593,985209,6889723,27476,113,781847,1,618,0
"2022 Nov",26,483.6,7529.4,0,6775,34733.7,577829,105084,4,11520,25709,121773,4,1132945,121051,16407,224872,13831,0,4436,355213,0,2385,77729,67436,2745,6972,7242.8,4961.4,191,49148,1563127,517,35,99,0,1107630,37937,19,104,997,838,169227,46849,837673,1971918,267,118525,85965,725004,117,2837697,7262,3,54562,4963,6436,578,3686,8716,5714,17054,8285837,6773423,145,23080,242881,8,6044,0,612,301384,0,256,72677,0,0,43134,664.4,60005,43918,3090,10169,0,116,12724,281,2155,581054,59504,33086,16518,476149,2863026,866619,7487,8502,13,27952,245875,12169,0,196484,949410,0,5319407,1241990,50653907,2854,0,1205738,1050419,5832049,779,720,488956,0,106,0
